ID,AnimFile,AnimName,CodeName,Primary Subject,Shape/Form,Shiann's Motifs,Colours,Space,Verb(ing),Verb 2,Noun,Adjective 2,Adjective,State of being,State of being 2,Interjection,Noun 2,Phrase,Emotion,Affirming Phrase,BG colour,Text colour
0,smorez_3 copy.mp4,smorez,anim0.mp4,Food,fluid,slime,Multi,Balanced,stretching,camped,cookie,green,sticky,happy,weird,Woo!,marshmellow,Hungry?,mellow,Drink water!,#FFFF66,#000000
1,popsickle copy.mp4,popsickle,anim1.mp4,Food,fluid,melting,Multi,Balanced,melting,reversed,ice,layered,cold,cruel,bad,Ah!,stick,Please split it.,chipper,Be kind.,#990066,#FFFFFF
2,DedBunny copy.mp4,dedBunny,anim2.mp4,Dismembered Body Parts,fragmented,slime,2 colours,Balanced,bleeding,guided,rabbit,ominous,holy,bad-ass,well,Yikes.,head,"Oh no, it's real.",scared,Follow your heart.,#FF3300,#FFFFFF
3,teddyEggs_1 copy.mp4,teddyEggs,anim3.mp4,Monsters,fluid,eyes,Multi,Balanced,frying,cuddled,felt,delicious,cuddly,damned,hysteric,Yum.,stuffing,"Help, teddy!",reassured,Protect them.,#FFFFFF,#000000
4,brixx copy.mp4,brixx,anim4.mp4,Monsters,geometric,faceless feautres,Multi,Balanced,chilling,hypnotized,construction,chipped,tough,fun,love,Move it!,brick,Well hello.,unsettled,On your way. ,#FFFFFF,#000000
5,FireEyes copy.mp4,FireEyes,anim5.mp4,Monsters,fragmented,faceless feautres,BW + 1,Open,waking,burnt,flame,hot,violent,horror,fixated,Oh no!,single tooth,You okay?,sympathetic,You're alright.,#FFFFFF,#000000
6,Thesis_SickCupPot copy.mp4,SickCup,anim6.mp4,Monsters,closed shape,slime,BW,Open,dying,grown,concern,icky,strange,better,guarded,Shit!,flower,Well damn,confused,You can do iiiiit!,#FFFFFF,#000000
7,animate_doods_FIVE copy.mp4,BoxingGhost,anim7.mp4,Monsters,fluid,null,Multi,Balanced,boxing,raged,fight,ghastly,angry,ghoulish,gross,Ouch.,angel,Bob and weave,hurt,Roll with the punches.,#FF0800,#FFFFFF
8,animate_doods_FOUR copy.mp4,DeadPlanet,anim8.mp4,Destruction,fluid,slime,Multi,Packed,dissolving,changed,ring,bright,multi-coloured,unsure,on the way,Shiny...,planet,"Ah, it's melting!",technicolour,Dance.,#083392,#FFFFFF
9,animate_doods_THREE copy.mp4,popCulture,anim9.mp4,Technology,geometric,machines,Mutli,Balanced,dreaming,salivated,media,naive,wistful,phenomenal,hopeful,Awww.,idea,I hate this channel.,blissful,Take a breather.,#FF8D00,#000000
10,animate_doods_TWO copy.mp4,EvilCryBaby,anim10.mp4,Monsters,fragmented,faceless feautres,Multi,Open,reverse-crying,schemed,ick,confusing,moody,responsible,excited,Stop! ,rewind,Change my mind,regretful,Start over.,#9B00FF,#FFFFFF
11,animate_doods_ONE copy.mp4,Weep,anim11.mp4,Dismembered Body Parts,fluid,eyes,Multi,Open,crying,blinked,tears,vague,sad,weepy,artistic,Oh.,eye,Don't cry.,sad,Dry your eyes.,#FF00B6,#FFFFFF
12,mnstr_teeth_white copy.mp4,whiteTeeth,anim12.mp4,Dismembered Body Parts,geometric,teeth,BW,Packed,idle-ing,shone,floss,still,shiny,alert,watchful,Alrighty!,mountain,Floss daily.,empty,Hooray.,#000000,#FFFFFF
13,mnstr_teeth_or copy.mp4,goldTeeth,anim13.mp4,Dismembered Body Parts,geometric,teeth,BW + 1,Packed,shining,grilled,grill,sharp,expensive,away,real,Shut it!,gold,Looks pricey.,bright,Enjoy.,#000000,#FFFFFF
14,mnstr_mouthtop copy.mp4,openMouth,anim14.mp4,Dismembered Body Parts,closed shape,teeth,BW + 1,Packed,drooling,slept,mouth,unsanitary,open,tasteful,easy,Big yikes.,teeth,Get a napkin.,clever,Say cheese.,"45,45,45",#FFFFFF
15,mnstr_milkbox_full copy.mp4,TooMuchMilk,anim15.mp4,Food,fluid,null,BW + 1,Packed,overflowing,dripped,calcium,white,a lot,spilled,spoiled,Where are they?,milk,This is extra.,overwhelmed,Be strong.,#FFFFFF,#000000
16,mnstr_milkbox_carton_red copy.mp4,SpilledMilkRed,anim16.mp4,Food,fluid,null,BW + 1,Balanced,spilling,fallen,mess,empty,drippy,displeased,illustrated,Weeee!,container,Clean up.,uneasy,You'll be okay.,#FFFFFF,#000000
17,mnstr_milkbox_carton_yellow copy.mp4,SpilledMilkYellow,anim17.mp4,Food,fluid,null,BW + 1,Balanced,overturning,leaked,accident,clean,yellow,lustful,swollen,Weird!,carton,"Messy, messy.",unsteady,Go with the flow.,#FFFFFF,#000000
18,mnstr_milkbox_empty copy.mp4,EmptyMilkBox,anim18.mp4,Food,geometric,null,BW + 1,Open,idle-ing,existed,milk crate,wooden,splintering,popular,scribbled,Nothing here!,crate,Smells like cedar.,empty,Good on you.,#FFFFFF,#000000
19,mnstr_box_orange copy.mp4,OrangeBoxSpider,anim19.mp4,Monsters,geometric,eyes,BW + 1,Open,guessing,fled,bug,lucky,tickly,drawn,alone,Spooky!,pest,Don't kill it.,terrified,Breathe easy.,#000000,#FFFFFF
20,mnstr_box_pink copy.mp4,PinkBoxSpider,anim20.mp4,Monsters,geometric,eyes,BW + 1,Open,suspecting,crawled,creature,clever,creepy,glitchy,unaware,Kill 'em!,friend,Grandpa says it brings money.,sneaky,I support you.,#000000,#FFFFFF
21,mnstr_thineyes_black copy.mp4,GhostDoor,anim21.mp4,Monsters,fluid,eyes,BW + 1,Balanced,haunting,exorcised,phantom,well-meaning,otherwise empty,possessed,strange,Wow!,soul,It was dead the whole time.,fascinated,Think beyond youself.,#000000,#FFFFFF
22,mnstr_othereye_black copy 2.mp4,EyeballMonster,anim22.mp4,Monsters,fluid,faceless feautres,Multi,Balanced,transforming,smiled,eye,devious,deceptive,mutant,breaking,Amazing!,monster,Wait holy crap.,unprepared,100 percent.,#000000,#FFFFFF
